sale_id,sale_date,customer_id,customer_name,product_id,product_name,category,quantity,price,total_amount
48,2025-01-01,160,Samantha Gomez,205,Phone,Electronics,4,800,3200
49,2025-01-01,189,Jill Chandler,204,Desk,Furniture,3,300,900
50,2025-01-01,124,William Johnson,204,Desk,Furniture,5,300,1500
51,2025-01-01,132,Heather Owen,205,Phone,Electronics,5,800,4000
52,2025-01-01,126,Steven Smith,204,Desk,Furniture,2,300,600
53,2025-01-01,176,Michele Romero,204,Desk,Furniture,1,300,300
54,2025-01-01,133,James Griffin,203,Chair,Furniture,4,150,600
55,2025-01-01,129,Christopher Kirby,201,Laptop,Electronics,2,1000,2000
56,2025-01-01,134,Denise Garrett,201,Laptop,Electronics,4,1000,4000
57,2025-01-01,138,Brandy Richards,201,Laptop,Electronics,3,1000,3000
58,2025-01-01,171,Ashley Turner,201,Laptop,Electronics,1,1000,1000
59,2025-01-01,151,Lauren Walker,203,Chair,Furniture,2,150,300
60,2025-01-01,128,Jimmy Erickson,201,Laptop,Electronics,1,1000,1000
61,2025-01-01,111,Anita Williams,203,Chair,Furniture,1,150,150
62,2025-01-01,141,Alejandro Moore,205,Phone,Electronics,3,800,2400
63,2025-01-01,193,Brandon Garrett,204,Desk,Furniture,1,300,300
64,2025-01-01,102,Keith Burch,202,Mouse,Electronics,1,25,25
65,2025-01-01,170,Peter Silva,205,Phone,Electronics,3,800,2400
66,2025-01-01,189,Travis Doyle,202,Mouse,Electronics,2,25,50
67,2025-01-01,190,Stephen Garcia,201,Laptop,Electronics,1,1000,1000
68,2025-01-01,150,Sarah Wilson,203,Chair,Furniture,5,150,750
69,2025-01-01,148,Rachel Melendez,202,Mouse,Electronics,4,25,100
70,2025-01-01,127,Oscar Chan,204,Desk,Furniture,2,300,600
71,2025-01-01,173,Andrew Smith,202,Mouse,Electronics,5,25,125
72,2025-01-01,109,Kimberly Martinez,205,Phone,Electronics,3,800,2400
73,2025-01-01,155,Amy Mendoza,204,Desk,Furniture,2,300,600
74,2025-01-01,164,Christina Williams,205,Phone,Electronics,5,800,4000
75,2025-01-01,116,Sarah Chapman,201,Laptop,Electronics,3,1000,3000
76,2025-01-01,178,Joseph Mccarty,201,Laptop,Electronics,5,1000,5000
77,2025-01-01,150,Melissa Williams,202,Mouse,Electronics,1,25,25
78,2025-01-01,190,Crystal Downs,204,Desk,Furniture,4,300,1200
79,2025-01-01,108,Daniel Hobbs,203,Chair,Furniture,1,150,150
80,2025-01-01,153,Eric Torres,201,Laptop,Electronics,4,1000,4000
81,2025-01-01,119,Melissa Peck,201,Laptop,Electronics,5,1000,5000
82,2025-01-01,188,Brandon Cooper,204,Desk,Furniture,1,300,300
83,2025-01-01,180,Lisa Mcconnell,201,Laptop,Electronics,3,1000,3000
84,2025-01-01,172,Angela Edwards,201,Laptop,Electronics,5,1000,5000
85,2025-01-01,197,Derek Estrada,202,Mouse,Electronics,2,25,50
86,2025-01-01,118,Peter Smith,205,Phone,Electronics,5,800,4000
87,2025-01-01,194,Carla Newton,202,Mouse,Electronics,3,25,75
88,2025-01-01,191,Amanda Daniels,205,Phone,Electronics,4,800,3200
89,2025-01-01,141,Adrienne Crawford,201,Laptop,Electronics,4,1000,4000
90,2025-01-01,136,James Lee,201,Laptop,Electronics,4,1000,4000
91,2025-01-01,129,Derek Robinson,202,Mouse,Electronics,3,25,75
92,2025-01-01,128,Steven Rush,201,Laptop,Electronics,1,1000,1000
93,2025-01-01,170,Alexander Adams,205,Phone,Electronics,1,800,800
94,2025-01-01,160,Casey Stanley,201,Laptop,Electronics,2,1000,2000
95,2025-01-01,144,Harold Jackson,201,Laptop,Electronics,4,1000,4000
96,2025-01-01,126,Jacqueline Ayala,205,Phone,Electronics,4,800,3200
97,2025-01-01,185,Jennifer Smith,204,Desk,Furniture,1,300,300
98,2025-01-01,132,Amanda Porter,205,Phone,Electronics,5,800,4000
99,2025-01-01,167,Rachel Kelly DVM,201,Laptop,Electronics,5,1000,5000
100,2025-01-01,188,Kevin Johnston,205,Phone,Electronics,1,800,800
101,2025-01-02,174,Donna Sanders,202,Mouse,Electronics,1,25,25
102,2025-01-02,188,Thomas Rojas,202,Mouse,Electronics,4,25,100
103,2025-01-02,128,Raymond Williamson,201,Laptop,Electronics,1,1000,1000
104,2025-01-02,115,Jonathan Davis,203,Chair,Furniture,3,150,450
105,2025-01-02,139,Billy Miller,203,Chair,Furniture,1,150,150
106,2025-01-02,179,Sandra Davenport,203,Chair,Furniture,4,150,600
107,2025-01-02,111,Travis Rogers,202,Mouse,Electronics,3,25,75
108,2025-01-02,176,Linda Alvarez,202,Mouse,Electronics,3,25,75
109,2025-01-02,124,Stephanie Dominguez,205,Phone,Electronics,2,800,1600
110,2025-01-02,111,Shannon Reese,204,Desk,Furniture,1,300,300
111,2025-01-02,126,William Powell,203,Chair,Furniture,5,150,750
112,2025-01-02,119,Victor Bender,203,Chair,Furniture,3,150,450
113,2025-01-02,196,Nicole Horton,201,Laptop,Electronics,4,1000,4000
114,2025-01-02,166,Robert Burton,201,Laptop,Electronics,2,1000,2000
115,2025-01-02,195,Karen Ramirez,202,Mouse,Electronics,4,25,100
116,2025-01-02,169,Kristen Brennan,205,Phone,Electronics,1,800,800
117,2025-01-02,100,Michael Browning,204,Desk,Furniture,3,300,900
118,2025-01-02,107,Brandon Henry,201,Laptop,Electronics,4,1000,4000
119,2025-01-02,119,Lynn Moreno,204,Desk,Furniture,4,300,1200
120,2025-01-02,123,Michael Mcneil,202,Mouse,Electronics,4,25,100
121,2025-01-02,132,Jennifer Novak,202,Mouse,Electronics,3,25,75
122,2025-01-02,151,Justin Franco,202,Mouse,Electronics,3,25,75
123,2025-01-02,142,Nicole Maldonado,204,Desk,Furniture,3,300,900
124,2025-01-02,130,Vincent Smith,201,Laptop,Electronics,3,1000,3000
125,2025-01-02,106,Jerry Robbins,205,Phone,Electronics,2,800,1600
126,2025-01-02,192,Craig West,204,Desk,Furniture,1,300,300
127,2025-01-02,121,Kendra Baxter,203,Chair,Furniture,1,150,150
128,2025-01-02,147,Daniel May,205,Phone,Electronics,4,800,3200
129,2025-01-02,130,Alexander Morales,202,Mouse,Electronics,5,25,125
130,2025-01-02,159,Mark Berger,204,Desk,Furniture,1,300,300
131,2025-01-02,133,Tina Thomas,203,Chair,Furniture,1,150,150
132,2025-01-02,106,Pamela Allen,204,Desk,Furniture,5,300,1500
133,2025-01-02,105,Christopher Parker,201,Laptop,Electronics,3,1000,3000
134,2025-01-02,158,Jasmine Price,203,Chair,Furniture,5,150,750
135,2025-01-02,192,Megan Wilson,205,Phone,Electronics,5,800,4000
136,2025-01-02,150,Paula Johnson,203,Chair,Furniture,5,150,750
137,2025-01-02,120,Alicia Patterson,203,Chair,Furniture,3,150,450
138,2025-01-02,143,Alejandro Jones,202,Mouse,Electronics,2,25,50
139,2025-01-02,179,Debra Stone,204,Desk,Furniture,4,300,1200
140,2025-01-02,197,Luis Donovan,204,Desk,Furniture,2,300,600
141,2025-01-02,167,Holly Rubio,204,Desk,Furniture,1,300,300
142,2025-01-02,109,Donald Henderson,202,Mouse,Electronics,2,25,50
143,2025-01-02,102,Mrs. Donna Daniels,202,Mouse,Electronics,1,25,25
144,2025-01-02,161,Olivia Mckinney,205,Phone,Electronics,3,800,2400
145,2025-01-02,152,Jennifer Gonzales,202,Mouse,Electronics,3,25,75
146,2025-01-02,134,Mrs. Paige Howard,201,Laptop,Electronics,5,1000,5000
147,2025-01-02,188,James Boyd,204,Desk,Furniture,3,300,900
148,2025-01-02,165,Daniel Martin,203,Chair,Furniture,1,150,150
149,2025-01-02,195,Michael Rose,203,Chair,Furniture,5,150,750
150,2025-01-02,139,Sharon Goodwin,202,Mouse,Electronics,3,25,75
151,2025-01-02,155,Stephanie Sloan,202,Mouse,Electronics,4,25,100
152,2025-01-02,134,Stephanie Bailey,201,Laptop,Electronics,1,1000,1000
153,2025-01-02,192,Stephanie Hess DVM,201,Laptop,Electronics,5,1000,5000
154,2025-01-02,180,Laura Holmes,201,Laptop,Electronics,3,1000,3000
155,2025-01-02,168,Donna Newman,204,Desk,Furniture,4,300,1200
156,2025-01-02,187,Deborah Moore,203,Chair,Furniture,5,150,750
157,2025-01-02,187,Jeremy Romero,201,Laptop,Electronics,4,1000,4000
158,2025-01-02,111,David Thomas,203,Chair,Furniture,2,150,300
159,2025-01-02,178,Charles Gomez,201,Laptop,Electronics,4,1000,4000
160,2025-01-02,110,Mark Oliver,202,Mouse,Electronics,5,25,125
161,2025-01-02,190,Zachary Mitchell,203,Chair,Furniture,5,150,750
162,2025-01-02,164,Elizabeth Hoffman,202,Mouse,Electronics,4,25,100
163,2025-01-02,142,Laura Morgan,201,Laptop,Electronics,4,1000,4000
164,2025-01-02,172,Lisa Castro,204,Desk,Furniture,2,300,600
165,2025-01-02,187,Mr. Jason Navarro,204,Desk,Furniture,2,300,600
166,2025-01-02,157,Whitney Luna,205,Phone,Electronics,1,800,800
167,2025-01-02,136,Erin Hill DVM,203,Chair,Furniture,1,150,150
168,2025-01-02,157,Kevin Melton,204,Desk,Furniture,1,300,300
169,2025-01-02,125,Bryan Owens,205,Phone,Electronics,3,800,2400
170,2025-01-02,181,Antonio Joseph,204,Desk,Furniture,4,300,1200
171,2025-01-02,160,Jordan Fowler,205,Phone,Electronics,2,800,1600
172,2025-01-02,182,James Rogers,202,Mouse,Electronics,2,25,50
173,2025-01-02,101,Judy Lane,203,Chair,Furniture,4,150,600
174,2025-01-02,114,Laura Williams,201,Laptop,Electronics,4,1000,4000
175,2025-01-02,118,Susan Jones,205,Phone,Electronics,2,800,1600
176,2025-01-02,122,Laura Yang,202,Mouse,Electronics,4,25,100
177,2025-01-02,137,Andrew Gardner,204,Desk,Furniture,3,300,900
178,2025-01-02,149,Ashley Parsons,205,Phone,Electronics,4,800,3200
179,2025-01-02,191,Steven Hogan,204,Desk,Furniture,5,300,1500
180,2025-01-02,171,Savannah Carter,204,Desk,Furniture,1,300,300
181,2025-01-02,104,Alison Christensen,205,Phone,Electronics,2,800,1600
182,2025-01-02,102,Anthony Hodges,205,Phone,Electronics,1,800,800
183,2025-01-02,149,Mason Moyer,205,Phone,Electronics,4,800,3200
184,2025-01-02,102,Kimberly Hodges,204,Desk,Furniture,2,300,600
185,2025-01-02,128,Kathryn Williams,201,Laptop,Electronics,1,1000,1000
186,2025-01-02,139,Dr. Karen Contreras,204,Desk,Furniture,3,300,900
187,2025-01-02,178,David Williams,205,Phone,Electronics,2,800,1600
188,2025-01-02,196,Keith Garcia,204,Desk,Furniture,5,300,1500
189,2025-01-02,185,James Smith,205,Phone,Electronics,3,800,2400
190,2025-01-02,152,Candice Knox,203,Chair,Furniture,3,150,450
191,2025-01-02,154,Emily Jones,203,Chair,Furniture,1,150,150
192,2025-01-02,100,Amy Cook,202,Mouse,Electronics,4,25,100
193,2025-01-02,104,Dr. Michelle Silva DDS,203,Chair,Furniture,5,150,750
194,2025-01-02,152,Sherri Garcia,203,Chair,Furniture,4,150,600
195,2025-01-02,117,Vanessa Aguilar,203,Chair,Furniture,4,150,600
196,2025-01-02,197,Anthony Cooper,204,Desk,Furniture,5,300,1500
197,2025-01-02,137,Michael Larson,205,Phone,Electronics,3,800,2400
198,2025-01-02,150,Sheila Edwards,201,Laptop,Electronics,1,1000,1000
199,2025-01-02,151,Nancy Grant,201,Laptop,Electronics,5,1000,5000
200,2025-01-02,134,Sean Pierce,202,Mouse,Electronics,2,25,50
201,2025-01-03,190,Samuel Wilson,201,Laptop,Electronics,1,1000,1000
202,2025-01-03,188,Maurice Baldwin,201,Laptop,Electronics,5,1000,5000
203,2025-01-03,103,Kristin Ingram,204,Desk,Furniture,3,300,900
204,2025-01-03,186,Maria Quinn,203,Chair,Furniture,5,150,750
205,2025-01-03,195,Carmen Marsh,202,Mouse,Electronics,3,25,75
206,2025-01-03,137,Christopher Duncan,202,Mouse,Electronics,5,25,125
207,2025-01-03,136,Stephen Evans,205,Phone,Electronics,5,800,4000
208,2025-01-03,140,Colin Cameron MD,203,Chair,Furniture,3,150,450
209,2025-01-03,120,Nancy Cole,203,Chair,Furniture,1,150,150
210,2025-01-03,164,Vincent Johnson,203,Chair,Furniture,4,150,600
211,2025-01-03,130,Brooke Jordan,202,Mouse,Electronics,2,25,50
212,2025-01-03,150,Jeffery Chapman,203,Chair,Furniture,2,150,300
213,2025-01-03,118,Megan Jones,204,Desk,Furniture,4,300,1200
214,2025-01-03,184,Colton Donaldson,204,Desk,Furniture,3,300,900
215,2025-01-03,179,Wanda Clark,202,Mouse,Electronics,2,25,50
216,2025-01-03,136,Kelly Rivera,202,Mouse,Electronics,3,25,75
217,2025-01-03,171,Larry Preston,204,Desk,Furniture,3,300,900
218,2025-01-03,174,Jose Dougherty III,205,Phone,Electronics,3,800,2400
219,2025-01-03,148,Stephen Miller,203,Chair,Furniture,1,150,150
220,2025-01-03,171,Matthew Olson,205,Phone,Electronics,4,800,3200
221,2025-01-03,136,Laura Ramirez,204,Desk,Furniture,4,300,1200
222,2025-01-03,192,Jill Burton,205,Phone,Electronics,4,800,3200
223,2025-01-03,151,Arthur Browning,201,Laptop,Electronics,5,1000,5000
224,2025-01-03,176,Brittany Rodriguez,202,Mouse,Electronics,3,25,75
225,2025-01-03,147,Michelle West,203,Chair,Furniture,3,150,450
226,2025-01-03,174,Ruth Colon,204,Desk,Furniture,1,300,300
227,2025-01-03,190,Rhonda Smith,202,Mouse,Electronics,2,25,50
228,2025-01-03,159,Anna Kline,201,Laptop,Electronics,1,1000,1000
229,2025-01-03,121,Lisa Kim,202,Mouse,Electronics,2,25,50
230,2025-01-03,191,Elizabeth Norris,201,Laptop,Electronics,5,1000,5000
231,2025-01-03,158,Amanda Myers,205,Phone,Electronics,4,800,3200
232,2025-01-03,109,Catherine Bell,205,Phone,Electronics,3,800,2400
233,2025-01-03,142,Laura Baker,204,Desk,Furniture,1,300,300
234,2025-01-03,158,Jacob Hicks,204,Desk,Furniture,4,300,1200
235,2025-01-03,170,Danielle Morris DVM,205,Phone,Electronics,3,800,2400
236,2025-01-03,172,Mr. Sean Garcia,205,Phone,Electronics,1,800,800
237,2025-01-03,103,Charles Thompson,202,Mouse,Electronics,1,25,25
238,2025-01-03,110,David Hendricks,204,Desk,Furniture,5,300,1500
239,2025-01-03,173,Melissa Black,203,Chair,Furniture,1,150,150
240,2025-01-03,170,Tina Campbell,201,Laptop,Electronics,5,1000,5000
241,2025-01-03,199,Beth James,201,Laptop,Electronics,5,1000,5000
242,2025-01-03,144,Lori Clark,201,Laptop,Electronics,1,1000,1000
243,2025-01-03,113,Christopher Cox,204,Desk,Furniture,5,300,1500
244,2025-01-03,178,Cynthia Murphy,203,Chair,Furniture,1,150,150
245,2025-01-03,158,Cheryl Macias,203,Chair,Furniture,1,150,150
246,2025-01-03,190,Eric Flores,202,Mouse,Electronics,1,25,25
247,2025-01-03,194,Jerry Sullivan,204,Desk,Furniture,1,300,300
248,2025-01-03,143,Cory Brown,205,Phone,Electronics,5,800,4000
249,2025-01-03,111,Sandy Manning,203,Chair,Furniture,4,150,600
250,2025-01-03,161,Dr. Carlos Williams,201,Laptop,Electronics,4,1000,4000
251,2025-01-03,190,Kimberly Weaver,205,Phone,Electronics,3,800,2400
252,2025-01-03,104,Michelle Alvarado,202,Mouse,Electronics,4,25,100
253,2025-01-03,196,Kayla French,205,Phone,Electronics,4,800,3200
254,2025-01-03,113,Sandra Schroeder,205,Phone,Electronics,1,800,800
255,2025-01-03,188,Jeremy Powers,203,Chair,Furniture,2,150,300
256,2025-01-03,123,Jill Watkins,204,Desk,Furniture,1,300,300
257,2025-01-03,185,Connie Adams,204,Desk,Furniture,2,300,600
258,2025-01-03,139,Charles George,205,Phone,Electronics,2,800,1600
259,2025-01-03,118,Victoria Moreno,202,Mouse,Electronics,1,25,25
260,2025-01-03,170,Brian Carlson,205,Phone,Electronics,1,800,800
261,2025-01-03,175,Casey Marshall,203,Chair,Furniture,1,150,150
262,2025-01-03,179,Ebony Nelson,205,Phone,Electronics,3,800,2400
263,2025-01-03,188,Vincent Mcbride,202,Mouse,Electronics,1,25,25
264,2025-01-03,142,Angela Meza,204,Desk,Furniture,5,300,1500
265,2025-01-03,151,Michelle Estrada,201,Laptop,Electronics,3,1000,3000
266,2025-01-03,176,Jennifer Hines,201,Laptop,Electronics,5,1000,5000
267,2025-01-03,195,Don Hart,203,Chair,Furniture,2,150,300
268,2025-01-03,171,Jonathan Elliott,203,Chair,Furniture,3,150,450
269,2025-01-03,170,Christopher Smith,202,Mouse,Electronics,1,25,25
270,2025-01-03,114,Maria Smith,204,Desk,Furniture,4,300,1200
271,2025-01-03,142,Gabriel Bauer,201,Laptop,Electronics,1,1000,1000
272,2025-01-03,171,Cathy Bryant,205,Phone,Electronics,3,800,2400
273,2025-01-03,170,Rebecca Lopez,205,Phone,Electronics,5,800,4000
274,2025-01-03,106,Randy Neal,202,Mouse,Electronics,4,25,100
275,2025-01-03,173,David Griffin,202,Mouse,Electronics,1,25,25
276,2025-01-03,171,Marcus Cobb,201,Laptop,Electronics,3,1000,3000
277,2025-01-03,167,Stanley Mathis,201,Laptop,Electronics,3,1000,3000
278,2025-01-03,180,Peter Maxwell,204,Desk,Furniture,2,300,600
279,2025-01-03,128,Courtney Castillo,201,Laptop,Electronics,3,1000,3000
280,2025-01-03,113,Lindsey Woodward,202,Mouse,Electronics,4,25,100
281,2025-01-03,180,Linda Hoover,201,Laptop,Electronics,4,1000,4000
282,2025-01-03,120,Charles Pierce,201,Laptop,Electronics,4,1000,4000
283,2025-01-03,156,Eric Miller,204,Desk,Furniture,4,300,1200
284,2025-01-03,175,Patricia Lutz,204,Desk,Furniture,4,300,1200
285,2025-01-03,108,Michelle Farmer,203,Chair,Furniture,4,150,600
286,2025-01-03,149,Lucas Barr,203,Chair,Furniture,3,150,450
287,2025-01-03,169,Jasmine Cross,202,Mouse,Electronics,1,25,25
288,2025-01-03,187,Jessica Perez,202,Mouse,Electronics,1,25,25
289,2025-01-03,142,Nicholas Harris,205,Phone,Electronics,1,800,800
290,2025-01-03,177,Tyrone Williams,202,Mouse,Electronics,1,25,25
291,2025-01-03,180,Robert Guerrero,204,Desk,Furniture,4,300,1200
292,2025-01-03,133,Tanya White,205,Phone,Electronics,1,800,800
293,2025-01-03,146,Debra Chambers,203,Chair,Furniture,5,150,750
294,2025-01-03,104,Randall Clark,201,Laptop,Electronics,1,1000,1000
295,2025-01-03,161,Judith Keller,203,Chair,Furniture,2,150,300
296,2025-01-03,162,Alexander Torres,201,Laptop,Electronics,5,1000,5000
297,2025-01-03,184,Zachary Williams,203,Chair,Furniture,1,150,150
298,2025-01-03,180,Brandi Rivera,204,Desk,Furniture,1,300,300
299,2025-01-03,168,Kristina Johnson,204,Desk,Furniture,2,300,600
300,2025-01-03,119,Edward Brewer,201,Laptop,Electronics,3,1000,3000
301,2025-01-04,194,Joyce Smith,205,Phone,Electronics,1,800,800
302,2025-01-04,179,Joel Thomas,205,Phone,Electronics,4,800,3200
303,2025-01-04,171,Briana Reyes,202,Mouse,Electronics,1,25,25
304,2025-01-04,140,Hunter Miller,201,Laptop,Electronics,5,1000,5000
305,2025-01-04,155,Linda David,205,Phone,Electronics,1,800,800
306,2025-01-04,196,Brian Sullivan,202,Mouse,Electronics,3,25,75
307,2025-01-04,104,Cynthia Friedman,202,Mouse,Electronics,5,25,125
308,2025-01-04,140,Martin Rodriguez,203,Chair,Furniture,4,150,600
309,2025-01-04,137,Patricia Shaw,201,Laptop,Electronics,2,1000,2000
310,2025-01-04,188,Keith Gay,203,Chair,Furniture,3,150,450
311,2025-01-04,162,Patrick Ryan,205,Phone,Electronics,3,800,2400
312,2025-01-04,116,Mrs. Sarah Johnson,204,Desk,Furniture,3,300,900
313,2025-01-04,131,Amber Murphy,205,Phone,Electronics,1,800,800
314,2025-01-04,162,Douglas Keith,203,Chair,Furniture,4,150,600
315,2025-01-04,122,Kevin Burke,201,Laptop,Electronics,1,1000,1000
316,2025-01-04,122,Phillip Levy,202,Mouse,Electronics,5,25,125
317,2025-01-04,130,Christina Turner,201,Laptop,Electronics,1,1000,1000
318,2025-01-04,190,Tracey Adkins,201,Laptop,Electronics,5,1000,5000
319,2025-01-04,161,Charles Oconnor,204,Desk,Furniture,5,300,1500
320,2025-01-04,136,Frank Briggs MD,205,Phone,Electronics,5,800,4000
321,2025-01-04,183,Pamela Kramer,204,Desk,Furniture,2,300,600
322,2025-01-04,167,John Macdonald,204,Desk,Furniture,4,300,1200
323,2025-01-04,126,Brandon Brown,201,Laptop,Electronics,1,1000,1000
324,2025-01-04,121,Katelyn Cortez,203,Chair,Furniture,4,150,600
325,2025-01-04,149,Laura Simmons,201,Laptop,Electronics,3,1000,3000
326,2025-01-04,195,Melissa Brown,202,Mouse,Electronics,2,25,50
327,2025-01-04,177,Lawrence Walker,203,Chair,Furniture,2,150,300
328,2025-01-04,180,Amber Yoder DVM,202,Mouse,Electronics,3,25,75
329,2025-01-04,140,Jack Johnston,203,Chair,Furniture,2,150,300
330,2025-01-04,115,Zachary Brewer,204,Desk,Furniture,4,300,1200
331,2025-01-04,151,Deborah Perkins,204,Desk,Furniture,4,300,1200
332,2025-01-04,124,Monique Acosta,204,Desk,Furniture,2,300,600
333,2025-01-04,144,Angelica Castillo,204,Desk,Furniture,1,300,300
334,2025-01-04,162,Ricky Walker,202,Mouse,Electronics,4,25,100
335,2025-01-04,174,Douglas Stewart,204,Desk,Furniture,2,300,600
336,2025-01-04,169,Stacey Spence,201,Laptop,Electronics,5,1000,5000
337,2025-01-04,166,Jeremy Williams,205,Phone,Electronics,3,800,2400
338,2025-01-04,184,Joann Richardson,205,Phone,Electronics,1,800,800
339,2025-01-04,165,Yvonne Shelton,202,Mouse,Electronics,5,25,125
340,2025-01-04,184,Melissa Ballard,205,Phone,Electronics,5,800,4000
341,2025-01-04,116,Theresa Lopez,205,Phone,Electronics,1,800,800
342,2025-01-04,185,Karen Flores,201,Laptop,Electronics,4,1000,4000
343,2025-01-04,175,Amber Conway,203,Chair,Furniture,4,150,600
344,2025-01-04,128,Brittany Clay,204,Desk,Furniture,3,300,900
345,2025-01-04,138,Nicholas Williams,203,Chair,Furniture,5,150,750
346,2025-01-04,195,Nicole Russell,203,Chair,Furniture,2,150,300
347,2025-01-04,191,Jonathan Wilson,205,Phone,Electronics,5,800,4000
348,2025-01-04,130,Ms. Lisa Bradley,205,Phone,Electronics,1,800,800
349,2025-01-04,176,Michael Haley,201,Laptop,Electronics,4,1000,4000
350,2025-01-04,117,Jessica Hayes DVM,202,Mouse,Electronics,1,25,25
351,2025-01-04,122,Megan Shelton,205,Phone,Electronics,4,800,3200
352,2025-01-04,134,Emily Reed,203,Chair,Furniture,1,150,150
353,2025-01-04,122,Connor Harper,203,Chair,Furniture,1,150,150
354,2025-01-04,189,Luis Carter,205,Phone,Electronics,5,800,4000
355,2025-01-04,194,Chase Greer,201,Laptop,Electronics,5,1000,5000
356,2025-01-04,171,Andrew Aguirre,205,Phone,Electronics,2,800,1600
357,2025-01-04,197,Edward Cuevas,204,Desk,Furniture,5,300,1500
358,2025-01-04,168,Joshua Mckinney,203,Chair,Furniture,1,150,150
359,2025-01-04,171,Kelly Hines,203,Chair,Furniture,2,150,300
360,2025-01-04,164,Francisco Thompson,204,Desk,Furniture,4,300,1200
361,2025-01-04,113,Dr. Christine Kelley,205,Phone,Electronics,4,800,3200
362,2025-01-04,100,Kimberly Curry,201,Laptop,Electronics,2,1000,2000
363,2025-01-04,182,Amy Rodriguez,203,Chair,Furniture,2,150,300
364,2025-01-04,145,Daniel Rodriguez,202,Mouse,Electronics,1,25,25
365,2025-01-04,115,Jeffrey Graham,202,Mouse,Electronics,3,25,75
366,2025-01-04,123,Justin Sims,201,Laptop,Electronics,3,1000,3000
367,2025-01-04,174,William Contreras,204,Desk,Furniture,4,300,1200
368,2025-01-04,123,Katelyn Todd,202,Mouse,Electronics,3,25,75
369,2025-01-04,109,Stephanie Collins,201,Laptop,Electronics,2,1000,2000
370,2025-01-04,138,Thomas Wright,202,Mouse,Electronics,2,25,50
